number,value,model.activation,model.siren,model.siren_omega0,model.use_fourier,model.ff_k,model.depth,model.width,opt.lr,opt.lam_bc,opt.lam_warm,opt.grad_clip_norm,opt.weight_decay_is_zero,opt.weight_decay_pos,opt.lr_warmup_frac,opt.lr_min_ratio,opt.use_ema,opt.ema_decay,opt.use_lookahead,opt.use_al,opt.al_rho,opt.al_update_every,opt.al_clip,sampling.bdry_presample_mult,regularization.zero_mean_weight,multi_valued.kappa,sampling.rng_seed,opt.lookahead_sync_period,opt.lookahead_slow_step
0,25.192466204489815,sin,True,48.03209016895371,True,3.0,3,32,0.00130672249688855,14.893803211296719,148.39932891835045,0.5143043828762085,False,2.5763959954046064e-05,0.25,0.18623926007155117,True,0.9954954656231237,False,True,3.0512424540226504,25.0,6.7464453472252295,24,0.632450436957051,0.7675729229091663,5796,,
1,0.6422093230191219,tanh,True,5.29766777625355,False,,4,64,0.000961554082945315,15.773183413411054,5.2296176952061595,3.996873165586386,False,0.0015620103822592665,0.05,0.07201964869976306,True,0.9958859646277157,True,True,1.1009133018164232,9.0,1.8184390828490804,8,0.01273244820158037,0.8662624358652706,7877,7.0,0.6696874851129756
2,0.18261074339702613,silu,True,55.7438463964097,True,3.0,2,96,0.0061636577679134085,7.240638577428991,74.26606426350288,0.5208748330197719,True,,0.15,0.10268394013038501,False,,True,False,,,,8,0.49947543605156686,0.2814870560206152,3963,4.0,0.30810107748523685
3,0.032301328289064034,tanh,False,,False,,2,96,0.0018829027891376355,8.849102579259933,7.416339640086323,2.3431153647515144,False,2.0754752098152667e-06,0.2,0.11826040876452104,False,,True,False,,,,16,0.02605552572355363,0.5272003412326856,2032,8.0,0.5567982974274474
4,0.023884604100180517,silu,True,5.856584701750544,False,,3,64,0.000735096337672989,11.276562031748377,9.159196424998118,1.0709848113096445,False,1.2382241226080492e-05,0.0,0.1637580606425862,True,0.9966319805115146,True,True,0.2110924556849866,24.0,7.458326673628164,8,0.7306565926337917,0.9072232571473712,683,10.0,0.5483130009616056
5,0.03277744513231088,silu,True,16.709093678209793,False,,3,128,0.0005626010798349609,9.425169144678602,168.8385483470935,2.757097312550974,True,,0.0,0.12969315803086512,False,,False,True,0.21632934511952895,29.0,9.21503703082384,32,0.764001989274724,0.2454062471116505,6569,,
6,0.1319573687504554,tanh,False,,True,2.0,2,96,0.0007193881156956272,16.302493487489503,74.62349203502136,1.3359669589437766,True,,0.2,0.0639185125599226,False,,False,False,,,,32,0.2900167867715747,0.21439132390269489,7455,,
7,0.1083965244671298,tanh,True,7.4077841114625835,True,3.0,4,96,0.0006515270484525228,2.1645763588645592,85.82337366481295,3.7078230924377356,False,8.1319580879397e-07,0.02,0.09523453003079384,False,,True,False,,,,8,0.10953628977642837,0.008208719074145554,6342,7.0,0.6410166415022998
8,0.4883929502540751,tanh,False,,False,,5,96,0.0025449797369289763,16.876426040307123,21.418009244559475,1.1651952413272684,False,5.92258281177589e-07,0.25,0.03374613843804071,False,,True,False,,,,24,0.2151368751563214,0.10817238871995694,5432,10.0,0.5728426139979289
9,2.125600269538682,tanh,True,53.094938839495555,True,2.0,4,48,0.001065966737165557,3.186605062764393,5.331035655390677,2.481821117706168,True,,0.02,0.11402157009919323,True,0.9988081839553518,False,False,,,,16,0.3177310907488162,0.4725826213172807,1322,,
10,0.598654586935171,softplus,True,42.58543450437896,True,4.0,4,64,0.0014366771488998342,11.88312375055843,13.274495306774686,1.7967440032971203,False,3.1997357914197666e-06,0.15,0.0020633303041704743,True,0.9953858950875577,True,True,1.2764393186939158,6.0,0.25875733462001227,8,0.2481597188043223,0.21055175477620047,7812,8.0,0.6571009298567387
11,0.02653638063721394,silu,False,,True,2.0,4,48,0.0011808484872440025,1.0952469475630047,45.099512434481454,0.6366991665808193,False,2.530564587466462e-05,0.25,0.04376939526942181,True,0.9981512787349911,True,True,4.142063001455174,23.0,0.6284573925475612,24,0.8499354335359117,0.2969344408956589,7589,9.0,0.799114375636486
12,0.17981266824904776,silu,False,,True,5.0,4,128,0.0015339100840160663,1.6857818927862251,23.044994177439342,0.9952290147997381,False,0.00021409921728512315,0.02,0.11377014060485609,False,,True,True,2.1057967935542488,28.0,5.096997498702935,24,0.3603710779654291,0.15645063850369523,8136,3.0,0.5100977248623968
13,0.01502092232646035,silu,True,11.549350457964023,False,,2,64,0.0007242509589891639,4.372698086938176,22.76644010242079,0.5405135518138388,True,,0.0,0.08797155849393373,True,0.9973727031259619,True,False,,,,8,0.9045838820346355,0.9031184578549634,1204,10.0,0.32578716332330526
14,0.012654151133145296,silu,True,11.190228122352586,False,,2,64,0.0017259855032617794,12.204114488912346,5.643605674324013,0.7744063703126796,False,0.00020134673491906284,0.25,0.1607024158564648,False,,True,True,3.1528866397493123,21.0,0.5677190531434307,8,0.7624598484362887,0.8273344009959632,1632,10.0,0.7630285028663502
15,2.3859925857593747,silu,True,13.045399646077046,True,5.0,4,64,0.0007951006163123016,3.039684091302243,11.05908480340286,1.0621631367880517,False,0.00016654437024574037,0.0,0.16881522703507829,True,0.9975566051893537,True,True,2.6201723857839228,28.0,0.2965309447702505,8,0.8231492343222293,0.9824308615088861,1898,10.0,0.7437603020725685
16,0.011734329684262503,silu,True,11.28592059398893,False,,2,64,0.0007129392793077775,6.026116710836726,11.303145604839859,2.1769511399887724,False,1.5848707053614086e-08,0.0,0.15866940474077432,True,0.9970097290876595,False,True,0.11761195809903949,19.0,4.8005642404469135,8,0.940375897724458,0.8857760548326085,521,,
17,0.01237233386026699,silu,True,12.96275260855067,False,,2,64,0.002023599975978003,8.274779421292811,8.756074970605441,0.5394598265975254,False,1.4064513328287093e-08,0.25,0.1640011454331078,False,,True,False,,,,16,0.8658766741543799,0.6730631241447693,529,9.0,0.3256862832720243
18,0.029870270299862396,silu,True,22.091202125002674,False,,3,64,0.004489044229642421,14.443015361779201,6.467308807557073,0.9682951326361534,False,1.3493720335915944e-08,0.25,0.07203701014031191,False,,True,True,0.12257534080869613,15.0,4.470060232552015,8,0.8728032193060438,0.38879731532886763,39,4.0,0.6733121181006951
19,0.6026779388815723,silu,True,23.184502887904014,False,,2,32,0.0005246818909721963,12.873763578373746,11.830051174437456,3.6690289542679237,False,1.0274289923256067e-08,0.0,0.16910548248328236,False,,False,True,0.22362012357506078,17.0,4.5646467765637775,8,0.7449415169950828,0.7939082739087095,4176,,
20,0.009063303229205894,silu,True,23.635335434316676,False,,2,48,0.0035453664179283255,2.49864926608704,9.548447199867596,0.6183586299058672,False,1.2748320044947822e-08,0.25,0.1621958704213954,False,,False,False,,,,24,0.7226329197562704,0.6629327821299874,512,,
21,0.022422835498836034,silu,True,23.24561370942435,False,,3,96,0.0014172032252945692,2.7927871031195726,54.81670695276184,2.78847066948967,False,1.0696703314840121e-08,0.15,0.19065347039395888,True,0.9998789148006697,False,True,0.5138286887611035,10.0,8.504260427012927,16,0.8007449174442266,0.8764303561384,1967,,
22,0.4660176731422374,silu,True,10.276022819363385,False,,2,64,0.003601032087365177,18.091618020584182,32.69019295678604,0.6212496285033356,True,,0.25,0.1857313783563801,False,,True,False,,,,24,0.49851622887511526,0.639018321085103,4160,7.0,0.40764891158137245
23,0.14702165459311428,silu,True,24.23301612887676,False,,3,48,0.005706269176877753,1.6152855833852353,35.77645543074208,1.0064849603813288,False,1.227751361092837e-07,0.25,0.19221492097635096,False,,False,False,,,,16,0.8435269562631128,0.7104787415837654,4169,,
24,102.28764347909336,silu,True,18.430155055318412,True,4.0,3,96,0.0005709528087150433,5.830188416641903,13.758760844949759,3.354417183470373,False,5.369010915950394e-08,0.15,0.0838547437767028,True,0.9998507203560294,False,True,0.333956679983973,26.0,0.7328952962068787,8,0.9857820542167541,0.8652674536189687,1428,,
25,0.1383539423455895,silu,True,21.52763745957157,False,,2,48,0.005475749925148364,5.314799287354981,11.67180937768583,0.9507239228842777,False,5.576711987872382e-08,0.25,0.10500700694339765,False,,False,False,,,,32,0.7876777789870922,0.6333462275650881,2441,,
26,0.02763899622153488,tanh,True,15.350180448262982,False,,2,48,0.002603104088002814,3.1280364568284638,14.595828982278531,0.5100673438206157,False,1.0247630737733566e-08,0.2,0.12505919651274233,False,,False,False,,,,24,0.6468148852740505,0.2014333708035012,201,,
27,0.008633763772381479,silu,True,13.07254814744853,False,,2,48,0.0005068780530964242,9.972153360718966,17.13914162994881,0.6735756312202342,False,7.742936449713317e-08,0.25,0.151472145052965,False,,True,False,,,,24,0.9329057697982628,0.7482841998719929,1180,8.0,0.3390878030114945
28,0.15142812760481086,tanh,False,,False,,2,32,0.0017043480753335019,7.157341777153584,11.809483017457735,0.6600250751308306,False,1.107550388075075e-08,0.25,0.16935321529664787,False,,True,False,,,,16,0.8161454445038937,0.4422528424102976,785,8.0,0.3458182191258165
29,0.028917231148288536,sin,True,10.431741495293915,False,,2,64,0.0013155880324318835,2.2637252478028294,8.292393116990054,0.8416105377515277,False,1.4021188949221247e-07,0.1,0.1298846799752332,False,,True,False,,,,16,0.7335354432842369,0.6853885619991108,2224,8.0,0.3866806699834558
30,0.022155493399960098,softplus,False,,False,,2,48,0.0007932663764269428,8.54115366891497,16.869484982235193,0.6210123115220939,False,1.925527829422353e-07,0.25,0.14999535987756557,False,,True,False,,,,32,0.9215483145444001,0.7954860741096212,1146,5.0,0.7882389156740279
31,1.0291785248479397,sin,True,10.374757742903324,True,4.0,3,48,0.0007779682279654064,12.297712849629596,40.260401431481135,0.5721075525530301,False,1.391654733864004e-07,0.15,0.18865504619886425,False,,True,False,,,,24,0.8129951156918845,0.8263997189653248,361,6.0,0.3049260719229752
32,0.7034455904574098,silu,True,16.290366690991075,True,4.0,2,32,0.0006777408383392122,14.222273369386297,11.95146019817516,1.506307940470283,True,,0.25,0.14062791858446422,False,,True,False,,,,32,0.9325815992903221,0.8951679728197317,1286,6.0,0.45967864486236976
33,0.04565702632262962,silu,True,15.676846022162557,False,,3,128,0.0005500041638036492,6.1234878468041005,20.782393095206864,1.780366754085165,False,1.8464318623758933e-07,0.02,0.0987872501706338,True,0.9968908738246363,False,True,0.31491990533306735,27.0,1.143000160447584,16,0.9559094368690683,0.9044146030487561,1608,,
34,0.07219131907035448,tanh,True,12.345811104248552,False,,3,48,0.006381527753908353,2.6299171390225093,5.285810891166868,0.5925833791928997,False,6.268053073578156e-08,0.25,0.1416273726843098,True,0.9969520888890862,True,False,,,,24,0.614487561266571,0.8786371397880604,325,6.0,0.316289015612449
35,0.2301752511095503,silu,True,10.03300319676471,True,5.0,2,32,0.0026074893538775117,2.0528945774648895,12.080366206175844,0.6453403286318977,False,1.1243584319429127e-08,0.25,0.15334971700444477,False,,False,False,,,,16,0.6274626920969353,0.7872994930357825,305,,
36,0.07737371679162215,silu,True,12.538680330983613,False,,3,96,0.0031065666035772063,1.4787351438561744,9.136099810228094,1.2780457681499782,False,1.141231698648376e-08,0.1,0.19772130176531127,False,,False,True,0.11342667786763926,6.0,8.187106642850427,24,0.7960125517513444,0.41163013768755774,596,,
37,0.3191255054461723,sin,True,13.317392686197643,False,,2,64,0.0011320491877114683,8.223085258268123,6.559652732529305,3.2262128220101722,False,1.0803440222795932e-08,0.15,0.1683770930265263,True,0.9983042883086993,False,False,,,,16,0.9953959131366427,0.8716803396691231,310,,
38,0.04444279590512172,tanh,True,14.558806938364558,False,,3,64,0.0015568981108474516,7.6286734420763205,27.37247487938995,3.2047701070315884,False,1.0311704099934922e-08,0.0,0.1621372229212229,True,0.9980962355199617,False,True,0.13363562170568383,26.0,3.257721774552485,16,0.9725673956341369,0.6529473846909684,1530,,
39,0.2502080955219071,silu,True,30.142859901399717,False,,2,32,0.0033249975188934925,10.854575522196763,11.888161410940572,0.6310053368818239,False,1.3316737208230028e-07,0.15,0.18233143092256457,False,,True,False,,,,16,0.9059156016919712,0.77796042203206,172,9.0,0.4100009337264928
