nx,ny,nz
-1.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
-9.994091391563415527e-01,2.630806155502796173e-02,2.212140150368213654e-02
-9.988765716552734375e-01,4.217294976115226746e-02,2.161135524511337280e-02
-9.976376295089721680e-01,5.800704658031463623e-02,3.680119290947914124e-02
-9.931409358978271484e-01,8.372574299573898315e-02,8.161599934101104736e-02
-9.741202592849731445e-01,1.170327663421630859e-01,1.933728009462356567e-01
-8.958323001861572266e-01,1.747864186763763428e-01,4.085758924484252930e-01
-7.604364156723022461e-01,2.315659224987030029e-01,6.067237854003906250e-01
-7.096440792083740234e-01,2.031526118516921997e-01,6.746364235877990723e-01
-7.620966434478759766e-01,9.237636625766754150e-02,6.408395171165466309e-01
-8.302993774414062500e-01,-2.690586633980274200e-02,5.566678047180175781e-01
-8.924748301506042480e-01,-1.489277482032775879e-01,4.258040189743041992e-01
-9.220923781394958496e-01,-2.668420672416687012e-01,2.802514433860778809e-01
-9.193818569183349609e-01,-3.766610324382781982e-01,1.134172901511192322e-01
-8.771241307258605957e-01,-4.769074022769927979e-01,-5.667902156710624695e-02
-8.022500872611999512e-01,-5.595387816429138184e-01,-2.081134170293807983e-01
-6.989573240280151367e-01,-6.285666823387145996e-01,-3.411197960376739502e-01
-6.017745137214660645e-01,-6.899368762969970703e-01,-4.023115038871765137e-01
-5.565964579582214355e-01,-7.501715421676635742e-01,-3.569916486740112305e-01
-6.708793044090270996e-01,-7.414942383766174316e-01,-1.036033686250448227e-02
-7.278115749359130859e-01,-5.155792832374572754e-01,4.521816670894622803e-01
-6.660072207450866699e-01,-4.383457005023956299e-01,6.035621762275695801e-01
-6.202796101570129395e-01,-5.354202389717102051e-01,5.732175111770629883e-01
-5.761032104492187500e-01,-6.638192534446716309e-01,4.769162237644195557e-01
-5.209438204765319824e-01,-7.888675928115844727e-01,3.260450065135955811e-01
-4.443923234939575195e-01,-8.805670738220214844e-01,1.646729409694671631e-01
-3.465946614742279053e-01,-9.378709197044372559e-01,-1.644123159348964691e-02
-2.334886938333511353e-01,-9.542237520217895508e-01,-1.869224607944488525e-01
-1.097174286842346191e-01,-9.347611069679260254e-01,-3.379108905792236328e-01
1.429053861647844315e-02,-8.930820822715759277e-01,-4.496668577194213867e-01
1.172738000750541687e-01,-8.673695325851440430e-01,-4.836496710777282715e-01
1.286905556917190552e-01,-9.316486716270446777e-01,-3.398079276084899902e-01
-5.400505661964416504e-02,-9.897318482398986816e-01,1.323419213294982910e-01
-1.442497819662094116e-01,-8.823526501655578613e-01,4.479349255561828613e-01
-6.951626390218734741e-02,-8.756711483001708984e-01,4.778781235218048096e-01
4.550173133611679077e-02,-9.139543771743774414e-01,4.032579362392425537e-01
1.738108843564987183e-01,-9.492272734642028809e-01,2.622163295745849609e-01
2.904030084609985352e-01,-9.508016109466552734e-01,1.078997999429702759e-01
3.988595902919769287e-01,-9.135815501213073730e-01,-7.924536615610122681e-02
4.847927391529083252e-01,-8.401505947113037109e-01,-2.431521266698837280e-01
5.511447787284851074e-01,-7.275530099868774414e-01,-4.085413217544555664e-01
5.988460183143615723e-01,-6.005557179450988770e-01,-5.298265814781188965e-01
6.412329673767089844e-01,-4.750195741653442383e-01,-6.026413440704345703e-01
6.976338028907775879e-01,-4.464988112449645996e-01,-5.603086948394775391e-01
7.281442284584045410e-01,-6.367722153663635254e-01,-2.536278367042541504e-01
5.941150784492492676e-01,-7.699012160301208496e-01,2.329790294170379639e-01
5.654508471488952637e-01,-7.200063467025756836e-01,4.023135006427764893e-01
6.485324501991271973e-01,-6.596485972404479980e-01,3.798281550407409668e-01
7.516841292381286621e-01,-5.958270430564880371e-01,2.827741205692291260e-01
8.443667292594909668e-01,-5.195953845977783203e-01,1.306350231170654297e-01
9.026388525962829590e-01,-4.297932684421539307e-01,-2.282222546637058258e-02
9.250398874282836914e-01,-3.210168480873107910e-01,-2.030992805957794189e-01
9.122304916381835938e-01,-2.108927220106124878e-01,-3.512260615825653076e-01
8.629785776138305664e-01,-8.540198951959609985e-02,-4.979703724384307861e-01
7.974958419799804688e-01,3.007649071514606476e-02,-6.025743484497070312e-01
7.281673550605773926e-01,1.547727286815643311e-01,-6.676958799362182617e-01
7.191170454025268555e-01,2.290999293327331543e-01,-6.560364961624145508e-01
8.261880278587341309e-01,2.111961692571640015e-01,-5.223116278648376465e-01
9.467659592628479004e-01,1.398155391216278076e-01,-2.899756133556365967e-01
9.869382977485656738e-01,1.004942357540130615e-01,-1.259118020534515381e-01
9.961887001991271973e-01,6.865848600864410400e-02,-5.379596352577209473e-02
9.984029531478881836e-01,4.994069412350654602e-02,-2.640938200056552887e-02
9.991571903228759766e-01,3.474229201674461365e-02,-2.186039276421070099e-02
9.997824430465698242e-01,1.437389291822910309e-02,-1.511523500084877014e-02
9.997824430465698242e-01,-1.437393762171268463e-02,1.511524058878421783e-02
9.991571903228759766e-01,-3.474277257919311523e-02,2.186039462685585022e-02
9.984029531478881836e-01,-4.994045943021774292e-02,2.640905603766441345e-02
9.961887001991271973e-01,-6.865852326154708862e-02,5.379601195454597473e-02
9.869383573532104492e-01,-1.004938557744026184e-01,1.259112060070037842e-01
9.467655420303344727e-01,-1.398159563541412354e-01,2.899767458438873291e-01
8.261883258819580078e-01,-2.111958712339401245e-01,5.223113298416137695e-01
7.191171646118164062e-01,-2.290999293327331543e-01,6.560363769531250000e-01
7.281676530838012695e-01,-1.547726094722747803e-01,6.676955223083496094e-01
7.974957227706909180e-01,-3.007655963301658630e-02,6.025743484497070312e-01
8.629789352416992188e-01,8.540242910385131836e-02,4.979697465896606445e-01
9.122302532196044922e-01,2.108926177024841309e-01,3.512268066406250000e-01
9.250398874282836914e-01,3.210165202617645264e-01,2.030999958515167236e-01
9.026386737823486328e-01,4.297937750816345215e-01,2.282056957483291626e-02
8.443668484687805176e-01,5.195952057838439941e-01,-1.306348294019699097e-01
7.516838312149047852e-01,5.958272218704223633e-01,-2.827743589878082275e-01
6.485323309898376465e-01,6.596484184265136719e-01,-3.798286616802215576e-01
5.654507279396057129e-01,7.200063467025756836e-01,-4.023137688636779785e-01
5.941157937049865723e-01,7.699013352394104004e-01,-2.329772561788558960e-01
7.281443476676940918e-01,6.367720365524291992e-01,2.536281049251556396e-01
6.976339221000671387e-01,4.464988708496093750e-01,5.603085160255432129e-01
6.412328481674194336e-01,4.750201702117919922e-01,6.026409268379211426e-01
5.988460183143615723e-01,6.005558371543884277e-01,5.298264622688293457e-01
5.511448383331298828e-01,7.275534868240356445e-01,4.085405170917510986e-01
4.847930073738098145e-01,8.401498198509216309e-01,2.431542426347732544e-01
3.988591432571411133e-01,9.135817885398864746e-01,7.924447953701019287e-02
2.904027402400970459e-01,9.508016109466552734e-01,-1.079005748033523560e-01
1.738113015890121460e-01,9.492274522781372070e-01,-2.622153759002685547e-01
4.550125822424888611e-02,9.139543771743774414e-01,-4.032579362392425537e-01
-6.951655447483062744e-02,8.756710290908813477e-01,-4.778783619403839111e-01
-1.442497074604034424e-01,8.823530077934265137e-01,-4.479342103004455566e-01
-5.400637909770011902e-02,9.897312521934509277e-01,-1.323450803756713867e-01
1.286906749010086060e-01,9.316484332084655762e-01,3.398087024688720703e-01
1.172736510634422302e-01,8.673696517944335938e-01,4.836494028568267822e-01
1.429072022438049316e-02,8.930819630622863770e-01,4.496669769287109375e-01
-1.097181737422943115e-01,9.347615242004394531e-01,3.379095494747161865e-01
-2.334885746240615845e-01,9.542236328125000000e-01,1.869234591722488403e-01
-3.465944528579711914e-01,9.378709793090820312e-01,1.644174940884113312e-02
-4.443920254707336426e-01,8.805674314498901367e-01,-1.646716743707656860e-01
-5.209441184997558594e-01,7.888671755790710449e-01,-3.260456323623657227e-01
-5.761032104492187500e-01,6.638186573982238770e-01,-4.769170284271240234e-01
-6.202795505523681641e-01,5.354209542274475098e-01,-5.732168555259704590e-01
-6.660075187683105469e-01,4.383455514907836914e-01,-6.035620570182800293e-01
-7.278116345405578613e-01,5.155794620513916016e-01,-4.521815478801727295e-01
-6.708788275718688965e-01,7.414945363998413086e-01,1.036133710294961929e-02
-5.565969347953796387e-01,7.501710057258605957e-01,3.569918274879455566e-01
-6.017742156982421875e-01,6.899367570877075195e-01,4.023119509220123291e-01
-6.989576220512390137e-01,6.285668015480041504e-01,3.411189019680023193e-01
-8.022498488426208496e-01,5.595389008522033691e-01,2.081137448549270630e-01
-8.771243691444396973e-01,4.769071638584136963e-01,5.667810142040252686e-02
-9.193818569183349609e-01,3.766606748104095459e-01,-1.134183108806610107e-01
-9.220923185348510742e-01,2.668420970439910889e-01,-2.802517116069793701e-01
-8.924743533134460449e-01,1.489272415637969971e-01,-4.258051812648773193e-01
-8.302990198135375977e-01,2.690558694303035736e-02,-5.566683411598205566e-01
-7.620969414710998535e-01,-9.237617999315261841e-02,-6.408392786979675293e-01
-7.096437811851501465e-01,-2.031525224447250366e-01,-6.746367216110229492e-01
-7.604368925094604492e-01,-2.315655648708343506e-01,-6.067231893539428711e-01
-8.958322405815124512e-01,-1.747868657112121582e-01,-4.085757732391357422e-01
-9.741202592849731445e-01,-1.170326694846153259e-01,-1.933730393648147583e-01
-9.931409358978271484e-01,-8.372557163238525391e-02,-8.161528408527374268e-02
-9.976376295089721680e-01,-5.800715088844299316e-02,-3.680113330483436584e-02
-9.988765716552734375e-01,-4.217340797185897827e-02,-2.161193452775478363e-02
-9.994090795516967773e-01,-2.630824968218803406e-02,-2.212158031761646271e-02
-1.000000000000000000e+00,-1.348653313471004367e-07,1.752033398361163563e-07
-6.835703849792480469e-01,4.911701381206512451e-02,-7.282300591468811035e-01
-6.934912204742431641e-01,3.083373792469501495e-02,-7.198050022125244141e-01
-6.859016418457031250e-01,3.151457011699676514e-02,-7.270115017890930176e-01
-6.820466518402099609e-01,5.468570441007614136e-02,-7.292611002922058105e-01
-6.736873388290405273e-01,4.839072376489639282e-02,-7.374305129051208496e-01
-6.829793453216552734e-01,2.824371494352817535e-02,-7.298914194107055664e-01
-7.434952259063720703e-01,-3.675176948308944702e-02,-6.677305102348327637e-01
-9.173054099082946777e-01,-1.644097268581390381e-02,-3.978447318077087402e-01
-9.663255214691162109e-01,1.577146947383880615e-01,2.033252716064453125e-01
