x,y,z
2.527056694030761719e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.527373552322387695e+00,1.251411437988281250e-01,8.480249904096126556e-03
2.529266119003295898e+00,2.510852813720703125e-01,6.870008539408445358e-03
2.530082941055297852e+00,3.783012032508850098e-01,7.681705988943576813e-03
2.531926870346069336e+00,5.077022314071655273e-01,7.486619986593723297e-03
2.534912586212158203e+00,6.401713490486145020e-01,7.825471460819244385e-03
2.540508747100830078e+00,7.770932912826538086e-01,8.777884766459465027e-03
2.548294305801391602e+00,9.195791482925415039e-01,1.029662042856216431e-02
2.558470487594604492e+00,1.069033503532409668e+00,1.348027121275663376e-02
2.575443029403686523e+00,1.229075193405151367e+00,1.609223149716854095e-02
2.603237867355346680e+00,1.404423117637634277e+00,1.741310767829418182e-02
2.659465551376342773e+00,1.609430789947509766e+00,1.474045310169458389e-02
2.714650869369506836e+00,1.832141041755676270e+00,9.931253269314765930e-03
2.727188348770141602e+00,2.043941020965576172e+00,4.106489010155200958e-03
2.705088138580322266e+00,2.244614362716674805e+00,4.210905899526551366e-05
2.657567977905273438e+00,2.436892747879028320e+00,-1.302203512750566006e-03
2.586951494216918945e+00,2.619147777557373047e+00,1.119728622143156826e-04
2.495260000228881836e+00,2.789715766906738281e+00,3.454797202721238136e-03
2.382175445556640625e+00,2.944222927093505859e+00,7.042098790407180786e-03
2.249735355377197266e+00,3.080441951751708984e+00,1.035939995199441910e-02
2.101618766784667969e+00,3.198546409606933594e+00,1.177805941551923752e-02
1.953797340393066406e+00,3.320540428161621094e+00,1.153499633073806763e-02
1.824582099914550781e+00,3.484503030776977539e+00,9.029782377183437347e-03
1.696380496025085449e+00,3.670774221420288086e+00,5.665870849043130875e-03
1.546088218688964844e+00,3.832767963409423828e+00,2.294538542628288269e-03
1.376142263412475586e+00,3.966480016708374023e+00,2.092323702527210116e-04
1.191044449806213379e+00,4.073262214660644531e+00,-1.392356807627948001e-05
9.947130680084228516e-01,4.154594898223876953e+00,1.118767308071255684e-03
7.900291681289672852e-01,4.209323883056640625e+00,2.846560673788189888e-03
5.796558856964111328e-01,4.234189510345458984e+00,3.590538632124662399e-03
3.670006096363067627e-01,4.228299617767333984e+00,3.412469755858182907e-03
1.558589339256286621e-01,4.198510169982910156e+00,1.640074187889695168e-03
-5.180078372359275818e-02,4.187913417816162109e+00,-5.368493148125708103e-04
-2.609589099884033203e-01,4.214362621307373047e+00,-2.687193453311920166e-03
-4.734208285808563232e-01,4.235354423522949219e+00,-3.670867532491683960e-03
-6.853179335594177246e-01,4.225394725799560547e+00,-3.330320352688431740e-03
-8.933050036430358887e-01,4.185694217681884766e+00,-2.055630553513765335e-03
-1.094028592109680176e+00,4.116897583007812500e+00,-3.689140721689909697e-04
-1.285291433334350586e+00,4.023341178894042969e+00,6.826522439951077104e-05
-1.463173508644104004e+00,3.902803897857666016e+00,-9.752378100529313087e-04
-1.624188661575317383e+00,3.755827426910400391e+00,-3.953379113227128983e-03
-1.762459516525268555e+00,3.578561544418334961e+00,-7.350824307650327682e-03
-1.887033700942993164e+00,3.396589517593383789e+00,-1.053282245993614197e-02
-2.026024103164672852e+00,3.256240367889404297e+00,-1.189971156418323517e-02
-2.177105903625488281e+00,3.141280651092529297e+00,-1.129836030304431915e-02
-2.318225383758544922e+00,3.014730930328369141e+00,-8.872168138623237610e-03
-2.441308498382568359e+00,2.869166374206542969e+00,-5.201995838433504105e-03
-2.543789148330688477e+00,2.706176042556762695e+00,-1.719660940580070019e-03
-2.624911785125732422e+00,2.529276132583618164e+00,9.846030734479427338e-04
-2.684433698654174805e+00,2.341976165771484375e+00,9.164159419015049934e-04
-2.719459533691406250e+00,2.145212650299072266e+00,-1.680273911915719509e-03
-2.726489067077636719e+00,1.939984917640686035e+00,-7.036645431071519852e-03
-2.690958023071289062e+00,1.720835208892822266e+00,-1.249479316174983978e-02
-2.627991914749145508e+00,1.502859473228454590e+00,-1.652990095317363739e-02
-2.586697816848754883e+00,1.313960909843444824e+00,-1.714484579861164093e-02
-2.566280364990234375e+00,1.147656202316284180e+00,-1.482479553669691086e-02
-2.552570343017578125e+00,9.931453466415405273e-01,-1.190366223454475403e-02
-2.544436454772949219e+00,8.476642370223999023e-01,-9.210861288011074066e-03
-2.537151575088500977e+00,7.079341411590576172e-01,-8.448580279946327209e-03
-2.533373117446899414e+00,5.735183358192443848e-01,-7.325914688408374786e-03
-2.530694723129272461e+00,4.426443576812744141e-01,-7.907964289188385010e-03
-2.529839277267456055e+00,3.145080804824829102e-01,-6.912148557603359222e-03
-2.528241634368896484e+00,1.879680007696151733e-01,-8.005460724234580994e-03
-2.527069807052612305e+00,6.252496689558029175e-02,-5.803173407912254333e-03
-2.527069807052612305e+00,-6.252480298280715942e-02,5.803153850138187408e-03
-2.528241634368896484e+00,-1.879684478044509888e-01,8.005459792912006378e-03
-2.529839277267456055e+00,-3.145079016685485840e-01,6.912155076861381531e-03
-2.530694484710693359e+00,-4.426448047161102295e-01,7.907960563898086548e-03
-2.533373117446899414e+00,-5.735181570053100586e-01,7.325903512537479401e-03
-2.537152051925659180e+00,-7.079347372055053711e-01,8.448591455817222595e-03
-2.544436216354370117e+00,-8.476639986038208008e-01,9.210857562720775604e-03
-2.552570343017578125e+00,-9.931452274322509766e-01,1.190365664660930634e-02
-2.566280364990234375e+00,-1.147656798362731934e+00,1.482480019330978394e-02
-2.586698293685913086e+00,-1.313961148262023926e+00,1.714485511183738708e-02
-2.627992391586303711e+00,-1.502860307693481445e+00,1.652988977730274200e-02
-2.690957784652709961e+00,-1.720834851264953613e+00,1.249480899423360825e-02
-2.726489543914794922e+00,-1.939984917640686035e+00,7.036651950329542160e-03
-2.719459772109985352e+00,-2.145213603973388672e+00,1.680259476415812969e-03
-2.684433937072753906e+00,-2.341975927352905273e+00,-9.164150105789303780e-04
-2.624911546707153320e+00,-2.529276847839355469e+00,-9.845917811617255211e-04
-2.543788433074951172e+00,-2.706175088882446289e+00,1.719655003398656845e-03
-2.441308498382568359e+00,-2.869165897369384766e+00,5.201995838433504105e-03
-2.318224668502807617e+00,-3.014731407165527344e+00,8.872173726558685303e-03
-2.177106142044067383e+00,-3.141280174255371094e+00,1.129836402833461761e-02
-2.026024341583251953e+00,-3.256240129470825195e+00,1.189971342682838440e-02
-1.887033104896545410e+00,-3.396589756011962891e+00,1.053281687200069427e-02
-1.762459278106689453e+00,-3.578562736511230469e+00,7.350817788392305374e-03
-1.624188899993896484e+00,-3.755827426910400391e+00,3.953376319259405136e-03
-1.463174343109130859e+00,-3.902804136276245117e+00,9.752573678269982338e-04
-1.285290837287902832e+00,-4.023341178894042969e+00,-6.826382741564884782e-05
-1.094028353691101074e+00,-4.116897583007812500e+00,3.689010336529463530e-04
-8.933052420616149902e-01,-4.185694217681884766e+00,2.055630087852478027e-03
-6.853170990943908691e-01,-4.225394725799560547e+00,3.330317093059420586e-03
-4.734206199645996094e-01,-4.235354900360107422e+00,3.670863807201385498e-03
-2.609592080116271973e-01,-4.214363098144531250e+00,2.687219064682722092e-03
-5.180154368281364441e-02,-4.187912940979003906e+00,5.368455895222723484e-04
1.558596640825271606e-01,-4.198510169982910156e+00,-1.640068134292960167e-03
3.670008182525634766e-01,-4.228299617767333984e+00,-3.412464167922735214e-03
5.796555280685424805e-01,-4.234189510345458984e+00,-3.590543754398822784e-03
7.900298237800598145e-01,-4.209323883056640625e+00,-2.846548100933432579e-03
9.947133064270019531e-01,-4.154594898223876953e+00,-1.118770567700266838e-03
1.191044211387634277e+00,-4.073262691497802734e+00,1.390306988469092175e-05
1.376141667366027832e+00,-3.966480493545532227e+00,-2.092314243782311678e-04
1.546088933944702148e+00,-3.832767486572265625e+00,-2.294568344950675964e-03
1.696380734443664551e+00,-3.670774221420288086e+00,-5.665857344865798950e-03
1.824581980705261230e+00,-3.484504222869873047e+00,-9.029773995280265808e-03
1.953797698020935059e+00,-3.320540189743041992e+00,-1.153499819338321686e-02
2.101619005203247070e+00,-3.198546409606933594e+00,-1.177806593477725983e-02
2.249735355377197266e+00,-3.080442190170288086e+00,-1.035940926522016525e-02
2.382176399230957031e+00,-2.944222450256347656e+00,-7.042062934488058090e-03
2.495260000228881836e+00,-2.789715290069580078e+00,-3.454810706898570061e-03
2.586951732635498047e+00,-2.619147777557373047e+00,-1.119837834266945720e-04
2.657567739486694336e+00,-2.436893224716186523e+00,1.302205491811037064e-03
2.705087900161743164e+00,-2.244613409042358398e+00,-4.213351348880678415e-05
2.727187871932983398e+00,-2.043940544128417969e+00,-4.106475040316581726e-03
2.714651346206665039e+00,-1.832141518592834473e+00,-9.931240230798721313e-03
2.659465551376342773e+00,-1.609430074691772461e+00,-1.474047917872667313e-02
2.603237628936767578e+00,-1.404422640800476074e+00,-1.741308160126209259e-02
2.575442790985107422e+00,-1.229075074195861816e+00,-1.609223708510398865e-02
2.558470726013183594e+00,-1.069034099578857422e+00,-1.348027400672435760e-02
2.548294305801391602e+00,-9.195786714553833008e-01,-1.029661949723958969e-02
2.540508508682250977e+00,-7.770930528640747070e-01,-8.777871727943420410e-03
2.534913301467895508e+00,-6.401717662811279297e-01,-7.825474254786968231e-03
2.531926870346069336e+00,-5.077015757560729980e-01,-7.486630231142044067e-03
2.530083179473876953e+00,-3.783009052276611328e-01,-7.681707385927438736e-03
2.529266834259033203e+00,-2.510854303836822510e-01,-6.870010867714881897e-03
2.527373552322387695e+00,-1.251415610313415527e-01,-8.480254560708999634e-03
2.527056694030761719e+00,4.418446337695058901e-07,5.709459571789921029e-08
2.581364154815673828e+00,0.000000000000000000e+00,-1.070615351200103760e-01
2.580425739288330078e+00,1.277679800987243652e-01,-9.900721907615661621e-02
2.582104682922363281e+00,2.563306689262390137e-01,-1.006247624754905701e-01
2.584302902221679688e+00,3.864082396030426025e-01,-9.990253299474716187e-02
2.586566209793090820e+00,5.186585187911987305e-01,-1.003714650869369507e-01
2.591222524642944336e+00,6.543920040130615234e-01,-9.982417523860931396e-02
2.596906900405883789e+00,7.943444252014160156e-01,-9.846018999814987183e-02
2.604413270950317383e+00,9.398303031921386719e-01,-9.599027037620544434e-02
2.612302064895629883e+00,1.091526508331298828e+00,-9.155211597681045532e-02
2.618833065032958984e+00,1.249782085418701172e+00,-8.761905878782272339e-02
2.617757320404052734e+00,1.412256121635437012e+00,-8.634629845619201660e-02
2.612520217895507812e+00,1.581020832061767578e+00,-8.887131512165069580e-02
2.641974687576293945e+00,1.783091306686401367e+00,-8.027748763561248779e-02
2.683732748031616211e+00,2.011372327804565430e+00,-6.465345621109008789e-02
2.683971166610717773e+00,2.227092027664184570e+00,-5.598790943622589111e-02
2.648683786392211914e+00,2.428746223449707031e+00,-5.149820074439048767e-02
